1,B,Hf,s1,26.94,0.34,0.00,1.06,9150,4869,15.65,189.3,30.1,2.26,1442.6,2.54,27,3.33,18.2,117,11.95,40.08,10.6,1.17,50,3.4,44.36,1168.87,3.34,77,8,17,7,7,-0.6,-600,-139,-10.97,-167.68,-14.7,-0.62,158.6,-0.58,27,-0.99,-9,27,-1.35,10.22,-1.2,0.89,4,-3.4,0.84,-153.27,0.74,-67,-4,9,-1,-1,-4.31,8.00,3.08,0.00
2,Os,Er,s1,38.34,-0.15,0.00,1.63,8440,5102,31.67,357.46,44.4,2.83,1429,3.1,160,4.37,26.89,92,14.8,27.93,14.5,0.3,101.9,13.5,46.44,920.48,3.44,144,12,11,11,7,-0.37,2160,1498,13.53,22.94,-16.8,-0.31,251,-0.42,60,-0.53,-9.91,22,2.6,4.07,-4.3,-0.04,73.3,11.1,12.14,334.72,0.96,8,0,5,5,1,-4.31,8.00,3.08,0.00
3,Nd,Dy,s1,67.76,0.20,0.00,2.32,6187,2979,15.56,306.74,65.8,3.23,1102,3.59,100,5.13,39.6,50,11.47,22.4,16.5,0.36,27.2,2.7,21.94,513.68,2.36,126,12,6,6,6,0.26,507,-391,-1.54,-18.26,2.6,0.05,-42,0.05,0,0.15,1.6,-12,-0.41,-0.94,-2.7,0.02,5.8,0.5,-0.18,53.68,-0.08,-6,0,0,0,0,-4.31,8.00,3.08,0.00
4,Ca,Tb,s1,71.50,0.34,0.00,2.18,5257,2741,9.78,199.01,76,3.33,1153.8,3.75,-106,4.74,45.1,36,11.97,23.4,31.7,0.83,211.1,32.2,19.33,449.67,2.2,85,10,5,6,5,-0.18,-1743,-517,-6.68,-118.85,12.2,0.15,25.8,0.19,-206,-0.28,6.7,-22,0.25,0.34,12.9,0.47,188.9,30.4,-2.27,-140.33,-0.2,-45,-2,-1,-2,-1,-4.31,8.00,3.08,0.00
5,B,Al,s1,21.54,1.65,0.00,0.77,7015,3298.5,5.04,37.79,24.3,2,1378.2,2.41,72,2.79,14.6,145,11.29,43.98,27.8,1.93,264,37.7,33.3,798.6,3.65,18,5,26,6,6,-0.31,1535,1431.5,-0.36,-16.17,-8.9,-0.36,223,-0.45,-18,-0.45,-5.4,-1,-0.69,6.32,-18.4,0.13,-210,-37.7,11.9,217,0.43,-8,-1,0,0,0,-4.31,8.00,3.08,0.00
6,Mo,Au,s1,33.76,1.15,0.00,1.44,8042,4233.58,29.52,292.91,32.4,2.64,1575,2.8,318.74,3.8,19.6,116,16.32,36.98,19,0.38,455,66.1,48.36,914.83,4.7,121,11,17,9,9,-0.26,1782,1558.42,-9.08,-101.03,-1.4,-0.04,-205.2,-0.08,-126.74,0.22,-0.8,-16,-2.12,-4.06,-9.4,0.12,-179,-31.5,23.64,265.97,-0.38,-37,-1,-5,3,3,-4.31,8.00,3.08,0.00
7,Cl,Cd,s1,48.55,-0.61,0.00,2.76,1279.18,766.43,11.86,147.86,50.5,2.4,2118.8,2.48,348.8,2.68,30,164,21.96,40.72,30.8,0.71,96.81,14.7,9.28,110.07,4.85,65,8,29,9,3,0.86,-800.82,-422.09,-5.44,-76.96,7.5,-0.42,383.4,-0.5,348.8,-0.74,3.8,24,3.98,6.9,-30.8,0.25,-96.79,-14.7,-2.86,-89.67,1.47,-31,-2,5,5,-1,-4.31,8.00,3.08,0.00
8,Zr,Ag,s1,40.78,0.03,0.00,1.99,7118,3363.08,17.01,199.09,40.2,2.79,1391,3.04,175.7,3.91,24.4,109,13.92,34.62,24.6,0.51,451.7,65.2,32.3,841.13,3.26,87,10,15,6,5,-0.31,2246,892.92,-3.99,-16.65,6.2,0.11,-71,0.16,-75.7,0.41,3.8,-21,-1.24,-8.36,-13.2,0.05,-406.3,-60.6,9.7,339.87,-0.6,-7,0,-7,2,3,-4.31,8.00,3.08,0.00
9,Mn,Ni,s1,21.72,1.12,0.00,1.36,5240,3244,16.34,113.63,23,2.32,1454.1,2.49,111,3.41,13.98,113,15.06,33.81,35.1,0.92,98.52,15.1,31.84,597.24,3.46,53,8,17,10,6,-0.02,-770,-208,-1.46,-3.75,1.4,0.02,-19.3,-0.01,-111,0.17,0.8,-9,-0.2,-2.53,8.3,0.04,-82.88,-14.1,-2.56,-157.76,-0.36,-3,0,-3,4,2,-4.31,8.00,3.08,0.00
10,Ce,Lu,s1,67.22,0.14,0.00,2.12,7383,3007,16.61,315.09,63.9,3.21,1051.8,3.55,100,4.95,38.45,56,10.97,24.74,13.4,0.34,27.8,2.9,27.8,668.8,2.39,129,12,6,7,6,0.16,47,-865,-3.07,-34.85,4.9,0.09,3.8,0.09,0,0.45,2.89,-26,0.11,-3.04,-3,0.04,-5,-0.1,-9.4,-41.2,-0.15,-13,0,0,1,0,-4.31,8.00,3.08,0.00
